SortOrder,Analytic_Mthds,Constituent,LowerDetectLimit,UpperDetectLimit,LowerDL2,UpperDL2,Unit,Instrument,Retired Date
1091,C-ICPOES_MS-H2O,U,0.002,,,,ppb,ICP-MS,
1092,C-ICPOES_MS-H2O,V,0.1,,,,ppb,ICP-MS,2/7/2024
1093,C-ICPOES_MS-H2O,V,0.01,,,,ppb,ICP-MS,
1094,C-ICPOES_MS-H2O,W,0.2,,,,ppb,ICP-MS,2/7/2024
1095,C-ICPOES_MS-H2O,W,0.02,,,,ppb,ICP-MS,
1096,C-ICPOES_MS-H2O,Y,0.2,,,,ppb,ICP-MS,2/7/2024
1097,C-ICPOES_MS-H2O,Y,0.02,,,,ppb,ICP-MS,
1098,C-ICPOES_MS-H2O,Yb,0.1,,,,ppb,ICP-MS,
1099,C-ICPOES_MS-H2O,Zn,20,,,,ppb,ICP-MS,2/7/2024
1100,C-ICPOES_MS-H2O,Zn,2,,,,ppb,ICP-MS,
1101,C-ICPOES_MS-H2O,Zr,20,,,,ppb,ICP-MS,2/7/2024
1102,C-ICPOES_MS-H2O,Zr,2,,,,ppb,ICP-MS,
1201,C-ICPOES-16,Al2O3,0.01,75,,,%,ICP-OES,
1202,C-ICPOES-16,Ba,10,100000,,,ppm,ICP-OES,
1203,C-ICPOES-16,CaO,0.01,60,,,%,ICP-OES,
1204,C-ICPOES-16,Cr2O3,0.01,10,,,%,ICP-OES,
1205,C-ICPOES-16,Fe2O3,0.01,75,,,%,ICP-OES,
1206,C-ICPOES-16,K2O,0.01,25,,,%,ICP-OES,
1207,C-ICPOES-16,MgO,0.01,30,,,%,ICP-OES,
1208,C-ICPOES-16,MnO,0.01,10,,,%,ICP-OES,
1209,C-ICPOES-16,Na2O,0.01,30,,,%,ICP-OES,
1210,C-ICPOES-16,P2O5,0.01,25,,,%,ICP-OES,
1211,C-ICPOES-16,SiO2,0.01,90,,,%,ICP-OES,
1212,C-ICPOES-16,Sr,10,100000,,,ppm,ICP-OES,
1213,C-ICPOES-16,TiO2,0.01,25,,,%,ICP-OES,
1214,C-ICPOES-16,V2O5,0.02,10,,,%,ICP-OES,
1301,C-FA_ORE_AU-PD-PT,Au,0.02,100,,,ppm,ICP-OES,
1302,C-FA_ORE_AU-PD-PT,Pd,0.01,100,,,ppm,ICP-OES,
1303,C-FA_ORE_AU-PD-PT,Pd,0.02,100,,,ppm,ICP-OES,
1304,C-FA_ORE_AU-PD-PT,Pt,0.01,100,,,ppm,ICP-OES,
1305,C-FA_ORE_AU-PD-PT,Pt,0.02,100,,,ppm,ICP-OES,
1401,GC_ICP42C,Ag,0.2,,,,ppm,ICP-MS,
1402,GC_ICP42C,As,10,,,,ppm,ICP-MS,
1403,GC_ICP42C,Be,0.05,,,,ppm,ICP-OES,
1404,GC_ICP42C,Bi,20,,,,ppm,ICP-MS,
1405,GC_ICP42C,Cd,0.2,,,,ppm,ICP-MS,
1406,GC_ICP42C,Co,0.6,,,,ppm,ICP-MS,
1407,GC_ICP42C,Cu,2,,,,ppm,ICP-MS,
1408,GC_ICP42C,Li,20,,,,ppm,ICP-OES,
1409,GC_ICP42C,Mo,10,,,,ppm,ICP-MS,
1410,GC_ICP42C,Na,100,,,,ppm,ICP-OES,
1411,GC_ICP42C,Ni,2,,,,ppm,ICP-MS,
1412,GC_ICP42C,P,30,,,,ppm,ICP-OES,
1413,GC_ICP42C,Pb,0.4,,,,ppm,ICP-MS,
1414,GC_ICP42C,Sb,60,,,,ppm,ICP-MS,
1415,GC_ICP42C,Se,30,,,,ppm,ICP-MS,
1416,GC_ICP42C,Sn,20,,,,ppm,ICP-MS,
1417,GC_ICP42C,Tl,30,,,,ppm,ICP-MS,
1418,GC_ICP42C,Y,0.2,,,,ppm,ICP-MS,
1419,GC_ICP42C,Zn,2,,,,ppm,ICP-MS,
1501,C-ICPMS-REE,Ce,3,,,,ppm,ICP-MS,
1502,C-ICPMS-REE,Dy,0.5,,,,ppm,ICP-MS,
1503,C-ICPMS-REE,Er,0.5,,,,ppm,ICP-MS,
1504,C-ICPMS-REE,Eu,0.3,,,,ppm,ICP-MS,
1505,C-ICPMS-REE,Gd,0.5,,,,ppm,ICP-MS,
1506,C-ICPMS-REE,Ho,0.3,,,,ppm,ICP-MS,
1507,C-ICPMS-REE,La,3,,,,ppm,ICP-MS,
1508,C-ICPMS-REE,Lu,0.5,,,,ppm,ICP-MS,
1509,C-ICPMS-REE,Nd,5,,,,ppm,ICP-MS,
1510,C-ICPMS-REE,Pr,0.5,,,,ppm,ICP-MS,
1511,C-ICPMS-REE,Sm,0.5,,,,ppm,ICP-MS,
1512,C-ICPMS-REE,Tb,0.5,,,,ppm,ICP-MS,
1513,C-ICPMS-REE,Th,0.5,,,,ppm,ICP-MS,
1514,C-ICPMS-REE,Tm,0.3,,,,ppm,ICP-MS,
1515,C-ICPMS-REE,U,0.5,,,,ppm,ICP-MS,
1516,C-ICPMS-REE,Yb,0.5,,,,ppm,ICP-MS,
1601,C-WDXRF_BM,Co,0.01,100,,,%,WDXRF,
1602,C-WDXRF_BM,Cu,0.01,100,,,%,WDXRF,
1603,C-WDXRF_BM,Fe,0.02,100,,,%,WDXRF,
1604,C-WDXRF_BM,Ni,0.01,100,,,%,WDXRF,
1605,C-WDXRF_BM,Pb,0.01,100,,,%,WDXRF,
1606,C-WDXRF_BM,Zn,0.01,100,,,%,WDXRF,
