SortOrder,GRM,ValueType,Al_pct_ICP60,Ca_pct_ICP60,Fe_pct_ICP60,K_pct_ICP60,Mg_pct_ICP60,P_pct_ICP60,S_pct_ICP60,Si_pct_ICP60,Ti_pct_ICP60,Ag_ppm_ICP60,As_ppm_ICP60,B_ppm_ICP60,Ba_ppm_ICP60,Be_ppm_ICP60,Bi_ppm_ICP60,Cd_ppm_ICP60,Ce_ppm_ICP60,Co_ppm_ICP60,Cr_ppm_ICP60,Cs_ppm_ICP60,Cu_ppm_ICP60,Dy_ppm_ICP60,Er_ppm_ICP60,Eu_ppm_ICP60,Ga_ppm_ICP60,Gd_ppm_ICP60,Ge_ppm_ICP60,Hf_ppm_ICP60,Ho_ppm_ICP60,In_ppm_ICP60,La_ppm_ICP60,Li_ppm_ICP60,Lu_ppm_ICP60,Mn_ppm_ICP60,Mo_ppm_ICP60,Nb_ppm_ICP60,Nd_ppm_ICP60,Ni_ppm_ICP60,Pb_ppm_ICP60,Pr_ppm_ICP60,Rb_ppm_ICP60,Re_ppm_ICP60,Sb_ppm_ICP60,Sc_ppm_ICP60,Se_ppm_ICP60,Sm_ppm_ICP60,Sn_ppm_ICP60,Sr_ppm_ICP60,Ta_ppm_ICP60,Tb_ppm_ICP60,Te_ppm_ICP60,Th_ppm_ICP60,Tl_ppm_ICP60,Tm_ppm_ICP60,U_ppm_ICP60,V_ppm_ICP60,W_ppm_ICP60,Y_ppm_ICP60,Yb_ppm_ICP60,Zn_ppm_ICP60,Zr_ppm_ICP60,Al_pct_AR,Ca_pct_AR,Fe_pct_AR,K_pct_AR,Mg_pct_AR,Na_pct_AR,S_pct_AR,Ti_pct_AR,Ag_ppm_AR,As_ppm_AR,Au_ppm_AR,B_ppm_AR,Ba_ppm_AR,Be_ppm_AR,Bi_ppm_AR,Cd_ppm_AR,Ce_ppm_AR,Co_ppm_AR,Cr_ppm_AR,Cs_ppm_AR,Cu_ppm_AR,Ga_ppm_AR,Ge_ppm_AR,Hf_ppm_AR,Hg_ppm_AR,In_ppm_AR,La_ppm_AR,Li_ppm_AR,Mn_ppm_AR,Mo_ppm_AR,Nb_ppm_AR,Ni_ppm_AR,P_ppm_AR,Pb_ppm_AR,Rb_ppm_AR,Re_ppm_AR,Sb_ppm_AR,Sc_ppm_AR,Se_ppm_AR,Sn_ppm_AR,Sr_ppm_AR,Ta_ppm_AR,Te_ppm_AR,Th_ppm_AR,Tl_ppm_AR,U_ppm_AR,V_ppm_AR,W_ppm_AR,Y_ppm_AR,Zn_ppm_AR,Zr_ppm_AR,Au_ppb_FA,Pd_ppb_FA,Pt_ppb_FA,Al2O3_pct_WDX,BaO_pct_WDX,CaO_pct_WDX,Cr2O3_pct_WDX,Fe2O3_pct_WDX,K2O_pct_WDX,LOI_pct_WDX,MgO_pct_WDX,MnO_pct_WDX,Na2O_pct_WDX,P2O5_pct_WDX,SiO2_pct_WDX,SrO_pct_WDX,TiO2_pct_WDX,V2O5_pct_WDX,F_pct_ISE,S_pct_IR,C_pct_IR,CO2_pct_CARB,CRBNT_pct_CARB,Hg_ppm_CVAAS,Organic_C_pct_C,Al2O3_pct_ICP16,Ba_ppm_ICP16,CaO_pct_ICP16,Cr2O3_pct_ICP16,Fe2O3_pct_ICP16,K2O_pct_ICP16,MgO_pct_ICP16,MnO_pct_ICP16,Na2O_pct_ICP16,P2O5_pct_ICP16,SiO2_pct_ICP16,Sr_ppm_ICP16,TiO2_pct_ICP16,V2O5_pct_ICP16,Au_ppm_FA_ORE,Pd_ppm_FA_ORE,Pt_ppm_FA_ORE,Ag_ppm_ICP42C,As_ppm_ICP42C,Be_ppm_ICP42C,Bi_ppm_ICP42C,Cd_ppm_ICP42C,Co_ppm_ICP42C,Cu_ppm_ICP42C,Li_ppm_ICP42C,Mo_ppm_ICP42C,Na_ppm_ICP42C,Ni_ppm_ICP42C,P_ppm_ICP42C,Pb_ppm_ICP42C,Sb_ppm_ICP42C,Se_ppm_ICP42C,Sn_ppm_ICP42C,Tl_ppm_ICP42C,Y_ppm_ICP42C,Zn_ppm_ICP42C,Ce_ppm_ICPREE,Dy_ppm_ICPREE,Er_ppm_ICPREE,Eu_ppm_ICPREE,Gd_ppm_ICPREE,Ho_ppm_ICPREE,La_ppm_ICPREE,Lu_ppm_ICPREE,Nd_ppm_ICPREE,Pr_ppm_ICPREE,Sm_ppm_ICPREE,Tb_ppm_ICPREE,Th_ppm_ICPREE,Tm_ppm_ICPREE,U_ppm_ICPREE,Yb_ppm_ICPREE,Co_pct_WDXRFBM,Cu_pct_WDXRFBM,Fe_pct_WDXRFBM,Ni_pct_WDXRFBM,Pb_pct_WDXRFBM,Zn_pct_WDXRFBM,Au_ppb_PGE,Ir_ppb_PGE,Pd_ppb_PGE,Pt_ppb_PGE,Re_ppb_PGE,Rh_ppb_PGE,Ru_ppb_PGE,Ag_ppb_H2O,Al_ppb_H2O,As_ppb_H2O,Au_ppb_H2O,B_ppb_H2O,Ba_ppb_H2O,Be_ppb_H2O,Bi_ppb_H2O,Ca_ppb_H2O,Cd_ppb_H2O,Ce_ppb_H2O,Co_ppb_H2O,Cr_ppb_H2O,Cs_ppb_H2O,Cu_ppb_H2O,Dy_ppb_H2O,Er_ppb_H2O,Eu_ppb_H2O,Fe_ppb_H2O,Ga_ppb_H2O,Gd_ppb_H2O,Ge_ppb_H2O,Hf_ppb_H2O,Hg_ppb_H2O,Ho_ppb_H2O,In_ppb_H2O,K_ppb_H2O,La_ppb_H2O,Li_ppb_H2O,Lu_ppb_H2O,Mg_ppb_H2O,Mn_ppb_H2O,Mo_ppb_H2O,Na_ppb_H2O,Nb_ppb_H2O,Nd_ppb_H2O,Ni_ppb_H2O,P_ppb_H2O,Pb_ppb_H2O,Pr_ppb_H2O,Rb_ppb_H2O,Re_ppb_H2O,S_ppb_H2O,Sb_ppb_H2O,Sc_ppb_H2O,Se_ppb_H2O,Si_ppb_H2O,Sm_ppb_H2O,Sn_ppb_H2O,Sr_ppb_H2O,Ta_ppb_H2O,Tb_ppb_H2O,Te_ppb_H2O,Th_ppb_H2O,Ti_ppb_H2O,Tl_ppb_H2O,Tm_ppb_H2O,U_ppb_H2O,V_ppb_H2O,W_ppb_H2O,Y_ppb_H2O,Yb_ppb_H2O,Zn_ppb_H2O,Zr_ppb_H2O,Ag_ppb_ICPH2O,Al_ppb_ICPH2O,As_ppb_ICPH2O,Au_ppb_ICPH2O,B_ppb_ICPH2O,Ba_ppb_ICPH2O,Be_ppb_ICPH2O,Bi_ppb_ICPH2O,Ca_ppb_ICPH2O,Cd_ppb_ICPH2O,Ce_ppb_ICPH2O,Co_ppb_ICPH2O,Cr_ppb_ICPH2O,Cs_ppb_ICPH2O,Cu_ppb_ICPH2O,Dy_ppb_ICPH2O,Er_ppb_ICPH2O,Eu_ppb_ICPH2O,Fe_ppb_ICPH2O,Ga_ppb_ICPH2O,Gd_ppb_ICPH2O,Ge_ppb_ICPH2O,Hf_ppb_ICPH2O,Hg_ppb_ICPH2O,Ho_ppb_ICPH2O,In_ppb_ICPH2O,K_ppb_ICPH2O,La_ppb_ICPH2O,Li_ppb_ICPH2O,Lu_ppb_ICPH2O,Mg_ppb_ICPH2O,Mn_ppb_ICPH2O,Mo_ppb_ICPH2O,Na_ppb_ICPH2O,Nb_ppb_ICPH2O,Nd_ppb_ICPH2O,Ni_ppb_ICPH2O,P_ppb_ICPH2O,Pb_ppb_ICPH2O,Pr_ppb_ICPH2O,Rb_ppb_ICPH2O,Re_ppb_ICPH2O,S_ppb_ICPH2O,Sb_ppb_ICPH2O,Sc_ppb_ICPH2O,Se_ppb_ICPH2O,Si_ppb_ICPH2O,Sm_ppb_ICPH2O,Sn_ppb_ICPH2O,Sr_ppb_ICPH2O,Ta_ppb_ICPH2O,Tb_ppb_ICPH2O,Te_ppb_ICPH2O,Th_ppb_ICPH2O,Ti_ppb_ICPH2O,Tl_ppb_ICPH2O,Tm_ppb_ICPH2O,U_ppb_ICPH2O,V_ppb_ICPH2O,W_ppb_ICPH2O,Y_ppb_ICPH2O,Yb_ppb_ICPH2O,Zn_ppb_ICPH2O,Zr_ppb_ICPH2O,Al_pct_ICP61,Ca_pct_ICP61,Fe_pct_ICP61,K_pct_ICP61,Mg_pct_ICP61,P_pct_ICP61,S_pct_ICP61,Si_pct_ICP61,Ti_pct_ICP61,Ag_ppm_ICP61,As_ppm_ICP61,B_ppm_ICP61,Ba_ppm_ICP61,Be_ppm_ICP61,Bi_ppm_ICP61,Cd_ppm_ICP61,Ce_ppm_ICP61,Co_ppm_ICP61,Cr_ppm_ICP61,Cs_ppm_ICP61,Cu_ppm_ICP61,Dy_ppm_ICP61,Er_ppm_ICP61,Eu_ppm_ICP61,Ga_ppm_ICP61,Gd_ppm_ICP61,Ge_ppm_ICP61,Hf_ppm_ICP61,Ho_ppm_ICP61,In_ppm_ICP61,La_ppm_ICP61,Li_ppm_ICP61,Lu_ppm_ICP61,Mn_ppm_ICP61,Mo_ppm_ICP61,Nb_ppm_ICP61,Nd_ppm_ICP61,Ni_ppm_ICP61,Pb_ppm_ICP61,Pr_ppm_ICP61,Rb_ppm_ICP61,Re_ppm_ICP61,Sb_ppm_ICP61,Sc_ppm_ICP61,Se_ppm_ICP61,Sm_ppm_ICP61,Sn_ppm_ICP61,Sr_ppm_ICP61,Ta_ppm_ICP61,Tb_ppm_ICP61,Te_ppm_ICP61,Th_ppm_ICP61,Tl_ppm_ICP61,Tm_ppm_ICP61,U_ppm_ICP61,V_ppm_ICP61,W_ppm_ICP61,Y_ppm_ICP61,Yb_ppm_ICP61,Zn_ppm_ICP61,Zr_ppm_ICP61
11,CBT-QCM1,Preferred,0.23,33.38,0.29,0.11,2.99,0.03,0.33,0.98,0.01,<1,5.97,<10,16000,<5,<0.1,<0.2,3900,1.7,<10,0.3,8,3.8,1,9.3,,18.3,<1,<1,0.56,<0.2,2800,<10,0.11,387,<2,6,884,<5,280,317,5,,2.3,<5,<0.5,58,<1,1500,<0.5,1.7,<0.5,24,<0.5,0.11,5.5,9,2,14.5,0.7,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,1.79,46.7,<0.01,0.41,0.13,41,4.95,0.05,0.09,0.07,2.1,0.18,0.02,<0.01,0.06,0.33,10.6,40.5,11.05,0.1,,0.41,,46.7,<0.01,0.41,0.13,4.95,0.05,0.09,0.07,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,33.38,0.29,0.11,2.99,0.03,0.33,0.98,0.01,<1,5.97,<10,16000,<5,<0.1,<0.2,3900,1.7,<10,0.3,8,3.8,1,9.3,,18.3,<1,<1,0.56,<0.2,2800,<10,0.11,387,<2,6,884,<5,280,317,5,,2.3,<5,<0.5,58,<1,1500,<0.5,1.7,<0.5,24,<0.5,0.11,5.5,9,2,14.5,0.7,12,6
12,CBT-QCM1,Mean,0.23,33.66,0.28,0.15,2.93,0.03,0.41,0.95,0.02,<1,<30,<10,>10000,<5,<0.1,0.23,3780.63,1.7,<10,0.33,7.56,3.73,0.93,9.51,,17.7,<1,<1,0.53,<0.2,2640.21,<10,0.09,380.75,<2,7,897.58,<5,272.63,331.58,4.58,<0.02,2.13,<5,<5,60.3,<1,1570,<0.5,1.63,<0.5,23.24,<0.5,0.11,5.52,7.61,1.95,13.72,0.59,16.95,7.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,1.92,46.57,<0.01,0.42,0.13,41.88,4.87,0.05,0.06,0.07,2.23,0.19,0.03,<0.01,0.06,,,38.19,10.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,33.66,0.28,0.15,2.93,0.03,0.41,0.95,0.02,<1,<30,<10,>10000,<5,<0.1,0.23,3780.63,1.7,<10,0.33,7.56,3.73,0.93,9.51,,17.7,<1,<1,0.53,<0.2,2640.21,<10,0.09,380.75,<2,7,897.58,<5,272.63,331.58,4.58,<0.02,2.13,<5,<5,60.3,<1,1570,<0.5,1.63,<0.5,23.24,<0.5,0.11,5.52,7.61,1.95,13.72,0.59,16.95,7.11
13,CBT-QCM2,Preferred,0.48,31.6,0.6,0.27,1.45,0.07,,,0.1,<1,<30,,31800,<5,0.1,<0.2,7760,3.1,20,0.8,14.3,8.1,2.1,18.5,35,38.6,4.5,<1,1.2,<0.2,5500,0.2,0.2,700,3,17.3,1830,<5,585,670,10,,4.4,<5,,123,1,2740,<0.5,3.2,,48,<0.5,0.24,11,15.3,3.3,28.4,1.3,21.7,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,1.79,45.7,<0.01,0.86,0.28,38.4,2.56,0.1,0.16,0.14,4.25,,0.06,<0.01,,,10.6,36,9.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,31.6,0.6,0.27,1.45,0.07,,,0.1,<1,<30,,31800,<5,0.1,<0.2,7760,3.1,20,0.8,14.3,8.1,2.1,18.5,35,38.6,4.5,<1,1.2,<0.2,5500,0.2,0.2,700,3,17.3,1830,<5,585,670,10,,4.4,<5,,123,1,2740,<0.5,3.2,,48,<0.5,0.24,11,15.3,3.3,28.4,1.3,21.7,16.7
14,CBT-QCM2,Mean,0.48,31.39,0.59,0.28,1.47,0.06,0.86,1.83,0.04,<1,<30,<10,>10000,<5,<0.1,<0.2,7190.45,2.92,<10,0.63,13.7,7.32,1.95,18.9,,36.24,3,<1,1.05,<0.2,5025,<10,0.19,727,2.9,13.4,1701,<5,548.7,624.13,9.02,<0.02,4.06,<5,<1,116.62,<1,2942.65,<0.5,3.4,<1,47.13,<0.5,0.23,10.53,14.79,3.25,25.29,1.01,20.35,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,4.24,45.4,<0.01,0.86,0.28,38.5,2.49,0.09,0.12,0.14,4.11,,0.06,<0.01,,,10.69,37.13,10.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,31.39,0.59,0.28,1.47,0.06,0.86,1.83,0.04,<1,<30,<10,>10000,<5,<0.1,<0.2,7190.45,2.92,<10,0.63,13.7,7.32,1.95,18.9,,36.24,3,<1,1.05,<0.2,5025,<10,0.19,727,2.9,13.4,1701,<5,548.7,624.13,9.02,<0.02,4.06,<5,<1,116.62,<1,2942.65,<0.5,3.4,<1,47.13,<0.5,0.23,10.53,14.79,3.25,25.29,1.01,20.35,17.1
15,CBT-QCM3,Preferred,1.25,22.48,1.5,0.66,1.21,0.14,,4.73,0.1,2.25,37,<10,>10000,7.4,0.14,0.28,>10000,6.39,17.71,1.56,33.63,18.01,4.68,47.99,,94.2,,1,2.61,<0.2,>10000,12.5,0.48,1790,6.63,30,4440,8.57,1498.88,>1000,23.58,,10.95,8.25,,300.38,1.63,7050.13,<0.5,8.77,,127.75,,0.55,27.54,37,8,65.56,3.08,43.75,40.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,9.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,22.48,1.5,0.66,1.21,0.14,,4.73,0.1,2.25,37,<10,>10000,7.4,0.14,0.28,>10000,6.39,17.71,1.56,33.63,18.01,4.68,47.99,,94.2,,1,2.61,<0.2,>10000,12.5,0.48,1790,6.63,30,4440,8.57,1498.88,>1000,23.58,,10.95,8.25,,300.38,1.63,7050.13,<0.5,8.77,,127.75,,0.55,27.54,37,8,65.56,3.08,43.75,40.55
16,CBT-QCM3,Mean,1.15,22.95,1.53,0.65,1.17,0.16,2.02,5,0.11,2.5,34.5,17.5,>10000,<5,<0.1,0.3,>10000,6.2,12.5,1.75,35,20.66,5.57,53.94,,109.5,<1,1.5,2.93,<0.2,>10000,16,0.49,1898.5,6,29.5,5448,10,1311,>1000,23.2,<0.02,11.95,,2,349,<1,>5000,<0.5,8.63,<0.05,99.5,<0.5,0.64,21.47,23.5,8.5,61.45,3.4,40,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,8.92,45.4,<0.01,0.9,0.3,38.5,2.5,0.1,0.1,0.1,4.1,,0.06,<0.01,0.27,,,37.13,10.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,22.95,1.53,0.65,1.17,0.16,2.02,5,0.11,2.5,34.5,17.5,>10000,<5,<0.1,0.3,>10000,6.2,12.5,1.75,35,20.66,5.57,53.94,,109.5,<1,1.5,2.93,<0.2,>10000,16,0.49,1898.5,6,29.5,5448,10,1311,>1000,23.2,<0.02,11.95,,2,349,<1,>5000,<0.5,8.63,<0.05,99.5,<0.5,0.64,21.47,23.5,8.5,61.45,3.4,40,39.2
17,DGPM-1,Preferred,4.82,0.17,1.36,2.23,0.32,0.04,0.31,>30,0.33,<1,180,93.6,1272,<5,0.1,0.34,90.5,1.36,120,8.92,13.7,3.22,2.08,0.78,11.3,3.9,2,9.8,0.67,<0.2,51.7,41.9,0.32,28,13.6,9.8,30.5,14.3,9.8,9.43,94,,14,8.79,1.24,4.7,2,91,0.67,0.6,<0.5,9.9,8.21,0.3,3.26,104,73.6,19.9,2.05,22,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,12.3,9.4,9.56,0.14,0.22,0.01,1.92,2.74,3.68,0.56,<0.01,0.07,0.09,79.82,0.01,0.56,0.02,0.09,0.337,0.11,0.03,0.01,1.08,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.82,0.17,1.36,2.23,0.32,0.04,0.31,>30,0.33,<1,180,93.6,1272,<5,0.1,0.34,90.5,1.36,120,8.92,13.7,3.22,2.08,0.78,11.3,3.9,2,9.8,0.67,<0.2,51.7,41.9,0.32,28,13.6,9.8,30.5,14.3,9.8,9.43,94,,14,8.79,1.24,4.7,2,91,0.67,0.6,<0.5,9.9,8.21,0.3,3.26,104,73.6,19.9,2.05,22,410
18,DGPM-1,Mean,4.86,0.19,1.34,2.26,0.31,0.04,0.33,>30,0.33,<1,171.91,93.64,1278.02,<5,0.17,0.32,91.48,1.41,122.35,8.83,13.29,3.32,2.08,0.79,11.6,3.66,2.22,11.19,0.69,<0.2,52,41.1,0.33,42.75,14.45,10.25,30.9,14.94,11.54,9.73,93.06,<0.02,13.74,8.97,1,4.8,2.48,92.91,0.73,0.57,<1,10.62,8.44,0.31,3.51,100.6,77.5,20.2,2.11,21,418.29,0.23,0.1,1.21,0.23,0.04,0.03,0.33,<0.01,0.36,185,0.66,14,210,0.15,0.11,0.22,88.2,1.21,33.8,1.61,9.53,1.66,0.31,0.09,1.22,0.01,48.8,5.5,19,13.8,0.12,7.6,363,8.96,7.48,0.018,7.06,3.9,1.6,0.87,44.6,0.01,0.06,8.54,7.88,1.56,30.5,11.2,16.2,14.3,2,764,13,10,9.4,0.15,0.19,0.02,1.9,2.72,4.14,0.55,<0.01,0.09,0.1,79.75,<0.01,0.56,0.02,0.09,0.33,0.11,<0.05,0.01,1.07,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.67,3.67,2.27,,8,0.7,50,0.37,,10,,95,26.33,0.3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.86,0.19,1.34,2.26,0.31,0.04,0.33,>30,0.33,<1,171.91,93.64,1278.02,<5,0.17,0.32,91.48,1.41,122.35,8.83,13.29,3.32,2.08,0.79,11.6,3.66,2.22,11.19,0.69,<0.2,52,41.1,0.33,42.75,14.45,10.25,30.9,14.94,11.54,9.73,93.06,<0.02,13.74,8.97,1,4.8,2.48,92.91,0.73,0.57,<1,10.62,8.44,0.31,3.51,100.6,77.5,20.2,2.11,21,418.29
19,DGPM-2,Preferred,3.53,8.45,2.04,1.14,3.87,0.44,,,0.19,4,160,46,2320,<5,0.49,15.39,23.43,3.01,153,22.08,180,4.88,3.37,0.96,12,5.04,1,3,1.08,<0.2,19.03,30,0.54,200,20,9,20.96,227,42,5.17,82,,10.43,8,,4.31,3,137,<0.5,0.76,,6.49,1.61,0.52,17.5,2344,33,37,3.6,1159,136,1.12,8.36,1.81,0.24,3.43,0.01,0.04,,3.42,151.82,0.04,,1586,1.31,0.33,14.13,20.46,2.74,71.92,8.62,161.6,3.97,0.32,0.33,3.24,0.06,17.2,14.44,164.8,18.76,0.16,222.6,,28.6,24.28,,4.59,6.98,14.7,1.72,103.74,0.02,0.12,4.72,0.97,10.54,1394.8,4.29,29.36,1105.8,13.1,230,17.6,28.2,6.58,0.26,12.65,<0.01,2.93,1.28,22.83,6.59,0.03,0.08,1,44.58,0.02,0.32,0.42,,<0.05,9.71,,,,,,,,,,,,,,,,,,,0.23,0.176,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.53,8.45,2.04,1.14,3.87,0.44,,,0.19,4,160,46,2320,<5,0.49,15.39,23.43,3.01,153,22.08,180,4.88,3.37,0.96,12,5.04,1,3,1.08,<0.2,19.03,30,0.54,200,20,9,20.96,227,42,5.17,82,,10.43,8,,4.31,3,137,<0.5,0.76,,6.49,1.61,0.52,17.5,2344,33,37,3.6,1159,136
20,DGPM-2,Mean,3.43,8.63,2.1,1.13,3.83,0.42,0.02,21.79,0.19,3.35,153.54,42.07,2326.83,<5,0.42,15.51,23.83,3.14,157.06,23.25,181.29,4.97,3.28,1.05,11.83,5.2,<1,3.03,1.07,<0.2,19.73,29.69,0.59,178,17.97,7.74,21.37,241.77,36.09,5.33,81,<0.02,9.65,8.26,14.31,4.44,3.06,133.6,0.54,0.78,<1,6.36,1.6,0.54,16.76,2336,31.49,35.99,3.6,1159,136,1.16,8.65,1.92,0.24,3.7,0.01,0.03,<0.01,3.39,146.67,0.02,10.5,1673.33,1.01,0.33,14.33,22.63,2.89,74.23,9.04,174.83,3.78,0.1,0.19,2.94,0.07,17.6,15.17,161.17,18.87,0.05,244.67,0.45,31.67,23.57,0.04,6.1,7.03,15.07,1.71,102.23,<0.01,0.1,5.16,0.96,11.58,1268.67,4.46,29.47,1074.67,9.84,231.4,17.6,28.2,6.56,0.28,12.6,0.03,2.96,1.27,23.16,6.54,0.03,0.09,0.99,44.44,0.01,0.32,0.45,0.17,<0.05,9.7,8.39,2.29,3.27,8.07,,,,,,,,,,,,,,,0.2,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43,8.63,2.1,1.13,3.83,0.42,0.02,21.79,0.19,3.35,153.54,42.07,2326.83,<5,0.42,15.51,23.83,3.14,157.06,23.25,181.29,4.97,3.28,1.05,11.83,5.2,<1,3.03,1.07,<0.2,19.73,29.69,0.59,178,17.97,7.74,21.37,241.77,36.09,5.33,81,<0.02,9.65,8.26,14.31,4.44,3.06,133.6,0.54,0.78,<1,6.36,1.6,0.54,16.76,2336,31.49,35.99,3.6,1159,136
21,DGPM-3,Preferred,4.69,0.2,0.86,0.9,0.18,0.02,,,0.36,<1,74,70,791,<5,0.2,<0.2,22.81,0.67,110,10.3,22,2.62,1.72,0.43,11,2.05,2,13,0.58,<0.2,15.5,51,0.24,,12,11,8.41,17,10,2.35,52.57,,4.12,8,,1.81,3,39.77,0.79,0.38,,7.53,13.73,0.26,2.71,79,99,20.93,1.63,10,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522,17,11,9.02,,0.17,<0.01,1.24,1.05,4.21,0.32,<0.01,0.04,0.04,83.08,,0.61,,,0.24,0.11,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69,0.2,0.86,0.9,0.18,0.02,,,0.36,<1,74,70,791,<5,0.2,<0.2,22.81,0.67,110,10.3,22,2.62,1.72,0.43,11,2.05,2,13,0.58,<0.2,15.5,51,0.24,,12,11,8.41,17,10,2.35,52.57,,4.12,8,,1.81,3,39.77,0.79,0.38,,7.53,13.73,0.26,2.71,79,99,20.93,1.63,10,438
